id,state,name,address,address2,postcode,city,state_id,tel,fax,website,email,image,latitude,longitude,likes,rating,status
12,TERENGGANU,Klinik 1 Malaysia Binjai,"1190, Mukim Binjai, Kemaman","Kemaman, Terengganu",24000,Kemaman,13,09-8586081,,,,,0,0,0,0,NEW
13,SELANGOR,Klinik 1 Malaysia Bukit Beruntung,"C-G-01, Apartment Kenanga, Taman Bunga Raya, Bukit Beruntung, Hulu Selangor","Hulu Selangor, Selangor",48000,Bukit Beruntung,10,03-60212832,,,,,0,0,0,0,NEW
14,MELAKA,Klinik 1 Malaysia Bukit Katil,"No.17 Jalan IKS, Bukit Katil","Melaka Tengah, Melaka",75450,Melaka,4,06-2311278,,,,,0,0,0,0,NEW
15,TERENGGANU,Klinik 1 Malaysia Bukit Payong,"8216, Tingkat Bawah, Bangunan Kedai Permit , Bukit Payong, Marang","Marang, Terengganu",21400,Marang,13,09-6192193,,,,,0,0,0,0,NEW
16,SELANGOR,Klinik 1 Malaysia Bukit Sentosa,"No.13 Jalan Seroja 1B, Bukit Sentosa. 48000 Hulu Selangor","Hulu Selangor, Selangor",48000,Hulu Selangor,10,03-60211466,,,,,0,0,0,0,NEW
17,SABAH,Klinik 1 Malaysia Bundusan Square,"Lot 67, Tingkat bawah, Blok H, Bundusan Square, Penampang","Penampang, Sabah",88300,Penampang,12,088-731225/226,088-731255,,,,0,0,0,0,NEW
18,SELANGOR,Klinik 1 Malaysia Cakerapurnama,"No.105, Jalan Cakerapurnama, 12/2 Seksyen 12, Bandar Baru Puncak Alam, 45010 Kuala Selangor","Kuala Selangor, Selangor",45010,Kuala Selangor,10,03-33933115,03-32895044(pkd),,,,0,0,0,0,NEW
19,KUALA LUMPUR,Klinik 1 Malaysia Desa Rejang,"Blok B-0-1, PPR Desa Rejang, Setapak","WP Kuala Lumpur, Kuala Lumpur",52100,Kuala Lumpur,14,03-41429891,03-41429891,,,,0,0,0,0,NEW
20,KUALA LUMPUR,Klinik 1 Malaysia Intan Baiduri,"B-0-5, Blok B, Kepong Utara, Mukim Batu ,Kepong","WP Kuala Lumpur, Kuala Lumpur",52100,Kuala Lumpur,14,03-61203799,03-61203799,,,,0,0,0,0,NEW
21,SARAWAK,Klinik 1 Malaysia Jalan Teku,"Lot 302, Blok 7 Teku Road, Sibu","Sibu, Sarawak",96000,Sibu,11,084-315494,,,,,0,0,0,0,NEW
22,KELANTAN,Klinik 1 Malaysia Jelawat,"Lot34, Bandar Jelawat Bachok","Bachok, Kelantan",16070,Bachok,3,09-7787010,09-7787012,,,,0,0,0,0,NEW
23,PULAU PINANG,Klinik 1 Malaysia Jelutong,"116, Tingkat Bawah, Jalan Jelutong","Timur Laut, Pulau Pinang",11500,Georgetown,9,04-2834070,04-2819500,,,,0,0,0,0,NEW
24,PERLIS,Klinik 1 Malaysia Kangar,"No.6 Tingkat Bawah, Jalan Lintasan Kangar, Taman Pertiwi, Kangar","Kangar, Perlis",1000,Kangar,8,04-9762634,04-9762621,,,,0,0,0,0,NEW
25,PAHANG,Klinik 1 Malaysia Kg Padang Jaya,"Tingkat Bawah, B-32 Jalan Sungai Lembing, Kg Padang","Kuantan, Pahang",25200,Kuantan,6,09-5735542,09-5679029,,,,0,0,0,0,NEW
26,KELANTAN,Klinik 1 Malaysia Kota Bharu,"Lot 348 (Bawah), Jalan Sri Cemerlang, Kota Bharu","Kota Bharu, Kelantan",15350,Kota Bharu,3,09-7414834,,,,,0,0,0,0,NEW
27,KEDAH,Klinik 1 Malaysia Kota Kenari,"No.208, Rumah Kedai, Jalan Kota Kenari3,Kota Kenari, Kulim","Kulim, Kedah",9000,Kulim,2,04-494534,,,,,0,0,0,0,NEW
28,SELANGOR,Klinik 1 Malaysia Lembah Subang,"No.112 &113, Blok A Jalan PJU 1A/42, Taman Putra Damai, Lembah Subang Petaling Jaya","Petaling Jaya, Selangor",47301,Kelana Jaya,10,03-78035533,,,,,0,0,0,0,NEW
29,SARAWAK,Klinik 1 Malaysia Matang Jaya,"Lot 9746, Seksyen 65 KTLD, Taman Lee Ling, Jalan Matang, Kuching","Kuching, Sarawak",93050,Kuching,11,082-649644,082-649644,,,,0,0,0,0,NEW
30,KELANTAN,Klinik 1 Malaysia Pengkalan Batu,"Lot 633B, Kg. Pengkalan Batu, Jalan Pasir Pekan, Pasir Mas","Pasir Mas, Kelantan",17000,Pasir Mas,3,09-7922211,,,,,0,0,0,0,NEW
31,KUALA LUMPUR,Klinik 1 Malaysia Perkasa,"B-0-1, Blok B, PPR Perkasa, Jalan Nakhoda Yusof, Kampung Pandan","WP Kuala Lumpur, Kuala Lumpur",55100,Kuala Lumpur,14,03-92055242,03-92055242,,,,0,0,0,0,NEW
32,SELANGOR,Klinik 1 Malaysia PJS 6,"No.2A, Jalan 6A, Kg  Lindungan 46000 Petaling Jaya","Petaling Jaya, Selangor",46000,Petaling Jaya,10,03-77819001,03-77819105,,,,0,0,0,0,NEW
33,PULAU PINANG,Klinik 1 Malaysia Seremban Jaya,"No.2294, Jalan SJ 10/1 , Taman Seremban Jaya, Seremban","Seremban, Negeri Sembilan",70450,Seremban,5,06-6771710,06-6771710,,,,0,0,0,0,NEW
34,MELAKA,Klinik 1 Malaysia Seri Pengkalan,"KM 4615, Jalan Samarinda 2, Taman Samarinda, Pengkalan, Alor Gajah","Alor Gajah, Melaka",78000,Alor Gajah,4,06-5560184,,,,,0,0,0,0,NEW
35,JOHOR,Klinik 1 Malaysia Sri Stulang,"Tingkat Bawah, Blok G, Rumah Pangsa Sri Stulang 1, Bakar Batu Permas  Jaya, Johor Bahru","Johor Bahru, Johor",81250,Johor Bahru,1,07-2166001,,,,,0,0,0,0,NEW
36,SABAH,Klinik 1 Malaysia Sulaman Sentral,"Lot 37, Tingkat Bawah Blok E, Fasa 2, Sulaiman Sentral, Kota Kinabalu","Kota Kinabalu, Sabah",88450,Kota Kinabalu,12,088-473128/127,088-473129,,,,0,0,0,0,NEW
37,PULAU PINANG,Klinik 1 Malaysia Sungai Ara,"2A-1, Tingkat Kenari 5, Taman Desa Ria, Sungai Ara, Bayan Lepas, Barat Daya","Barat Daya, Pulau Pinang",11900,Bayan Lepas,9,04-6463531,,,,,0,0,0,0,NEW
38,SARAWAK,Klinik 1 Malaysia Sungai Plan,"S/L 517, Sungai Plan Tanjung Kidurong, Bintulu","Bintulu, Sarawak",97000,Bintulu,11,086-254481,088-254481,,,,0,0,0,0,NEW
39,SELANGOR,Klinik 1 Malaysia Taman Gombak Permai,"No 1G, Jalan GP 2A, Taman Gombak Permai, 68100 Batu Cave","Gombak, Selangor",68100,Batu Cave,10,03-61856164,,,,,0,0,0,0,NEW
40,PAHANG,Klinik 1 Malaysia Taman Kempadang Makmur,"Taman Kempadang Makmur, Kempadang","Kuantan, Pahang",26060,Kuantan,6,09-5513831,09-5679092,,,,0,0,0,0,NEW
41,JOHOR,Klinik 1 Malaysia Taman Manis,"No. 5, Jalan Manis 17, Taman Manis Kelapa Sawit, Kulai Jaya","Kualaijaya, Johor",81030,Kulai,1,07-6525001,,,,,0,0,0,0,NEW
42,JOHOR,Klinik 1 Malaysia Taman Megah Ria,"No. 15 & 15A, Jalan Bayan 37/2, Taman Megah Ria, Masai Johor","Johor Bahru, Johor",81750,Johor Bahru,1,07-3866101,,,,,0,0,0,0,NEW
43,KUALA LUMPUR,Klinik 1 Malaysia Taman Melati,"Dewan Serbaguna, Pusat Konuniti Gombak, Taman Melati","WP Kuala Lumpur, Kuala Lumpur",53100,Kuala Lumpur,14,03-61854278,03-61854278,,,klinik1m_tamanmelati.jpg,0,0,0,0,NEW
44,JOHOR,Klinik 1 Malaysia Taman Pagoh Jaya,"No.5, Jalan Jaya 1/3, Taman Pagoh Jaya, Pahoh, Muar","Muar, Johor",84600,Muar,1,06-9737001,,,,,0,0,0,0,NEW
45,PULAU PINANG,Klinik 1 Malaysia Taman Rasah Jaya,"No.3779, Jalan Rasah Jaya 6-11, Taman Rasah Jaya, Seremban","Seremban, Negeri Sembilan",70300,Seremban,5,06-6310699,,,,,0,0,0,0,NEW
46,PULAU PINANG,Klinik 1 Malaysia Taman Semarak 2,"No. 5742, Jalan TS 2/1E, Taman Semarak 2, Nilai","Seremban, Negeri Sembilan",71800,Nilai,5,06-7977751,,,,,0,0,0,0,NEW
47,JOHOR,Klinik 1 Malaysia Taman Seri Lambak,"Balai Aktiviti JKKMB, Taman Seri Lambak, Kluang Johor","Kluang, Johor",86000,Kluang,1,07-7897701,,,,,0,0,0,0,NEW
48,SARAWAK,Klinik 1 Malaysia Taman Tunku,"Lot 9261 (2350 Heibour Hood) Shopping Centre Taman Tunku, Miri","Miri, Sarawak",97000,Miri,11,085-611546,,,,,0,0,0,0,NEW
49,PULAU PINANG,Klinik 1 Malaysia Teluk Air Tawar,"No.6, Lorong Teluk Air Tawar 14, Taman Air Tawar Indah, Teluk Air Tawar, Butterworth","Seberang Perai Utara, Pulau Pinang",13050,Butterworth,9,04-3511080,,,,,0,0,0,0,NEW
50,PERAK,Klinik 1 Malaysia Teluk Intan,"No.1 Taman Medan Maharaja, Jalan Kampung Banjar, Teluk Intan","Hilir Perak, Perak",36000,Teluk Intan,7,05-6224110,05-6212401,,,,0,0,0,0,NEW
51,PAHANG,Klinik 1 Malaysia Temerloh,"N0.12 Tingkat Bawah, Jalan Pak Sako 4, Bandar Seri Semantan, Temeloh","Temerloh, Pahang",28000,Temerloh,6,09-2969630,09-2969630,,,,0,0,0,0,NEW
52,TERENGGANU,Klinik 1 Malaysia Wakaf Baru,"Lot PT30712, Wakaf Baru, Mukim Kuala Nerus, Kuala Terengganu","Kuala Terengganu, Terengganu",21300,Kuala Terengganu,13,09-6667861,,,,,0,0,0,0,NEW
53,KUALA LUMPUR,Klinik 1Malaysia Kerinchi,"B-0-1, Blok B Kuarters DBKL, Jalan Pantai Permai 1","WP Kuala Lumpur, Kuala Lumpur",59200,Kuala Lumpur,14,03-22409406,03-22409406,,,,0,0,0,0,NEW
